Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Date,,,,,,
2025-01-02,220.22000122070312,220.22000122070312,225.14999389648438,218.19000244140625,222.02999877929688,33956600
2025-01-03,224.19000244140625,224.19000244140625,225.36000061035156,221.6199951171875,222.50999450683594,27515600
2025-01-06,227.61000061035156,227.61000061035156,228.83999633789062,224.83999633789062,226.77999877929688,31849800
2025-01-07,222.11000061035156,222.11000061035156,228.3800048828125,221.4600067138672,227.89999389648438,28084200
2025-01-08,222.1300048828125,222.1300048828125,223.52000427246094,220.1999969482422,223.19000244140625,25033300
2025-01-10,218.94000244140625,218.94000244140625,221.7100067138672,216.5,221.4600067138672,36811500
2025-01-13,218.4600067138672,218.4600067138672,219.39999389648438,216.47000122070312,218.05999755859375,27262700
2025-01-14,217.75999450683594,217.75999450683594,221.82000732421875,216.1999969482422,220.44000244140625,24711700
2025-01-15,223.35000610351562,223.35000610351562,223.57000732421875,220.75,222.8300018310547,31291300
2025-01-16,220.66000366210938,220.66000366210938,224.64999389648438,220.30999755859375,224.4199981689453,24757300
2025-01-17,225.94000244140625,225.94000244140625,226.50999450683594,223.0800018310547,225.83999633789062,42370100
2025-01-21,230.7100067138672,230.7100067138672,231.77999877929688,226.94000244140625,228.89999389648438,39951500
2025-01-22,235.00999450683594,235.00999450683594,235.44000244140625,231.19000244140625,232.02000427246094,41448200
2025-01-23,235.4199981689453,235.4199981689453,235.52000427246094,231.50999450683594,234.10000610351562,26404400
2025-01-24,234.85000610351562,234.85000610351562,236.39999389648438,232.92999267578125,234.5,25890700
2025-01-27,235.4199981689453,235.4199981689453,235.61000061035156,225.86000061035156,226.2100067138672,49428300
2025-01-28,238.14999389648438,238.14999389648438,241.77000427246094,233.97999572753906,234.2899932861328,41587200
2025-01-29,237.07000732421875,237.07000732421875,240.38999938964844,236.14999389648438,239.02000427246094,26091700
2025-01-30,234.63999938964844,234.63999938964844,237.9499969482422,232.22000122070312,237.13999938964844,32020700
2025-01-31,237.67999267578125,237.67999267578125,240.2899932861328,236.41000366210938,236.5,36162400
2025-02-03,237.4199981689453,237.4199981689453,239.25,232.89999389648438,234.05999755859375,37285900
2025-02-04,242.05999755859375,242.05999755859375,242.52000427246094,238.02999877929688,239.00999450683594,29713800
2025-02-05,236.1699981689453,236.1699981689453,238.32000732421875,235.1999969482422,237.02000427246094,38727300
2025-02-06,238.8300018310547,238.8300018310547,239.66000366210938,236.00999450683594,238.00999450683594,60897100
2025-02-07,229.14999389648438,229.14999389648438,234.80999755859375,228.05999755859375,232.5,77539300
2025-02-10,233.13999938964844,233.13999938964844,233.9199981689453,229.1999969482422,230.5500030517578,35419900
2025-02-11,232.75999450683594,232.75999450683594,233.44000244140625,230.1300048828125,231.9199981689453,23713700
2025-02-12,228.92999267578125,228.92999267578125,231.17999267578125,228.16000366210938,230.4600067138672,32285200
2025-02-13,230.3699951171875,230.3699951171875,230.4199981689453,227.52000427246094,228.85000610351562,31346500
2025-02-14,228.67999267578125,228.67999267578125,229.88999938964844,227.22999572753906,229.1999969482422,27031100
2025-02-18,226.64999389648438,226.64999389648438,229.3000030517578,223.72000122070312,228.82000732421875,42975100
2025-02-19,226.6300048828125,226.6300048828125,226.8300018310547,223.7100067138672,225.52000427246094,28566700
2025-02-20,222.8800048828125,222.8800048828125,225.1300048828125,221.80999755859375,224.77999877929688,30001700
2025-02-21,216.5800018310547,216.5800018310547,223.30999755859375,214.74000549316406,223.27999877929688,55323900
2025-02-24,212.7100067138672,212.7100067138672,217.72000122070312,212.4199981689453,217.4499969482422,42387600
2025-02-25,212.8000030517578,212.8000030517578,213.33999633789062,204.16000366210938,211.6300048828125,58958000
2025-02-26,214.35000610351562,214.35000610351562,218.16000366210938,213.08999633789062,214.94000244140625,39120600
2025-02-27,208.74000549316406,208.74000549316406,219.97000122070312,208.3699951171875,218.35000610351562,40548600
2025-02-28,212.27999877929688,212.27999877929688,212.6199951171875,206.99000549316406,208.64999389648438,51771700
2025-03-03,205.02000427246094,205.02000427246094,214.00999450683594,202.5500030517578,213.35000610351562,42948400
2025-03-04,203.8000030517578,203.8000030517578,206.8000030517578,197.42999267578125,200.11000061035156,60853100
2025-03-05,208.36000061035156,208.36000061035156,209.97999572753906,203.25999450683594,204.8000030517578,38610100
2025-03-06,200.6999969482422,200.6999969482422,205.77000427246094,198.3000030517578,204.39999389648438,49863800
2025-03-07,199.25,199.25,202.27000427246094,192.52999877929688,199.49000549316406,59802800
2025-03-10,194.5399932861328,194.5399932861328,196.72999572753906,190.85000610351562,195.60000610351562,62350900
2025-03-11,196.58999633789062,196.58999633789062,200.17999267578125,193.39999389648438,193.89999389648438,54002900
2025-03-12,198.88999938964844,198.88999938964844,201.52000427246094,195.2899932861328,200.72000122070312,43679300
2025-03-13,193.88999938964844,193.88999938964844,198.8800048828125,191.82000732421875,198.1699981689453,41270800
2025-03-14,197.9499969482422,197.9499969482422,198.64999389648438,195.32000732421875,197.41000366210938,38096700
2025-03-17,195.74000549316406,195.74000549316406,199.0,194.32000732421875,198.77000427246094,47341800
